file_id,pred,agree,n_win,method,seed
O,OR,0.45161290322580644,31,M2,0
P,OR,0.8064516129032258,31,M2,0
A,OR,0.8387096774193549,31,M2,1
B,B,0.5806451612903226,31,M2,1
C,OR,0.967741935483871,31,M2,1
D,OR,0.8064516129032258,31,M2,1
E,OR,1.0,31,M2,1
F,OR,0.7096774193548387,31,M2,1
G,B,0.5483870967741935,31,M2,1
H,OR,1.0,31,M2,1
I,OR,0.8709677419354839,31,M2,1
J,OR,0.6451612903225806,31,M2,1
K,OR,0.967741935483871,31,M2,1
L,OR,0.6451612903225806,31,M2,1
M,OR,0.967741935483871,31,M2,1
N,B,0.7419354838709677,31,M2,1
O,OR,0.45161290322580644,31,M2,1
P,OR,0.8064516129032258,31,M2,1
A,OR,0.8387096774193549,31,M2,2
B,B,0.5806451612903226,31,M2,2
C,OR,0.967741935483871,31,M2,2
D,OR,0.8064516129032258,31,M2,2
E,OR,1.0,31,M2,2
F,OR,0.7096774193548387,31,M2,2
G,B,0.5483870967741935,31,M2,2
H,OR,1.0,31,M2,2
I,OR,0.8709677419354839,31,M2,2
J,OR,0.6451612903225806,31,M2,2
K,OR,0.967741935483871,31,M2,2
L,OR,0.6451612903225806,31,M2,2
M,OR,0.967741935483871,31,M2,2
N,B,0.7419354838709677,31,M2,2
O,OR,0.45161290322580644,31,M2,2
P,OR,0.8064516129032258,31,M2,2
A,B,0.6451612903225806,31,M3,0
B,OR,0.7096774193548387,31,M3,0
C,OR,1.0,31,M3,0
D,B,0.4838709677419355,31,M3,0
E,OR,1.0,31,M3,0
F,B,0.6129032258064516,31,M3,0
G,OR,0.7419354838709677,31,M3,0
H,N,0.7096774193548387,31,M3,0
I,OR,0.7741935483870968,31,M3,0
J,OR,1.0,31,M3,0
K,OR,0.7419354838709677,31,M3,0
L,OR,0.5483870967741935,31,M3,0
M,B,0.3225806451612903,31,M3,0
N,IR,0.5483870967741935,31,M3,0
O,OR,0.4838709677419355,31,M3,0
P,B,0.5806451612903226,31,M3,0
A,B,0.6451612903225806,31,M3,1
B,OR,0.7096774193548387,31,M3,1
C,OR,1.0,31,M3,1
D,B,0.4838709677419355,31,M3,1
E,OR,1.0,31,M3,1
F,B,0.6129032258064516,31,M3,1
G,OR,0.7419354838709677,31,M3,1
H,N,0.7096774193548387,31,M3,1
I,OR,0.7741935483870968,31,M3,1
J,OR,1.0,31,M3,1
K,OR,0.7419354838709677,31,M3,1
L,OR,0.5483870967741935,31,M3,1
M,B,0.3225806451612903,31,M3,1
N,IR,0.5483870967741935,31,M3,1
O,OR,0.4838709677419355,31,M3,1
P,B,0.5806451612903226,31,M3,1
A,B,0.6451612903225806,31,M3,2
B,OR,0.7096774193548387,31,M3,2
C,OR,1.0,31,M3,2
D,B,0.4838709677419355,31,M3,2
E,OR,1.0,31,M3,2
F,B,0.6129032258064516,31,M3,2
G,OR,0.7419354838709677,31,M3,2
H,N,0.7096774193548387,31,M3,2
I,OR,0.7741935483870968,31,M3,2
J,OR,1.0,31,M3,2
K,OR,0.7419354838709677,31,M3,2
L,OR,0.5483870967741935,31,M3,2
M,B,0.3225806451612903,31,M3,2
N,IR,0.5483870967741935,31,M3,2
O,OR,0.4838709677419355,31,M3,2
P,B,0.5806451612903226,31,M3,2
